Blue-faced Honeyeater,Masked Booby,Spiny-cheeked Honeyeater,Gould's Wattled Bat,Sulphur-crested Cockatoo,Broad-banded Sand-swimmer,Splendid Fairy-wren,Southern Forest Bat,Eastern Cave Bat,Blue-faced Honeyeater
False,False,False,False,True,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False
False,False,False,True,True,False,False,True,False,False
False,False,False,True,True,False,False,True,False,False
True,False,False,True,True,False,False,True,False,True
False,False,False,False,True,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
True,False,True,True,False,False,True,False,False,True
False,False,False,False,True,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,True,True,False,False,True,False,False,False
True,False,False,False,True,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False
False,False,False,True,True,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,True,False,True
True,False,False,True,True,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False
True,False,False,True,True,False,False,False,False,True
False,False,False,True,True,False,False,True,False,False
False,False,False,False,True,False,False,False,False,False
True,False,False,False,True,False,False,False,False,True
False,False,False,True,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,False,False,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,True
False,False,True,True,True,False,False,False,True,False
False,False,False,True,True,False,False,True,False,False
True,False,False,False,True,False,False,False,False,True
False,False,False,True,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,True,True,True,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False
False,False,False,True,True,False,False,True,False,False
False,False,False,False,True,False,False,False,False,False
True,False,True,False,True,False,True,False,False,True
False,False,False,True,True,False,False,True,False,False
True,False,False,True,True,False,False,False,False,True
False,False,False,True,True,False,False,True,True,False
False,False,False,True,True,False,False,True,False,False
False,False,False,True,True,False,False,True,False,False
False,False,True,True,True,False,False,False,True,False
False,False,False,True,True,False,False,True,True,False
True,False,False,True,True,False,False,True,False,True
False,False,True,True,True,False,False,True,True,False
True,False,True,True,True,False,False,False,False,True
False,False,True,False,True,False,False,True,False,False
False,False,True,False,False,False,False,False,False,False
False,False,True,True,True,False,False,True,True,False
False,False,False,True,False,False,False,False,False,False
False,False,True,False,True,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
True,False,False,True,True,False,False,False,False,True
False,False,False,False,True,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,True
False,False,False,True,True,False,False,False,False,False
False,False,False,True,True,False,False,True,False,False
False,False,True,True,True,False,False,True,True,False
False,False,False,False,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,False,True,True,False,False,True,False,False
False,False,False,False,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,False,True,True,False,False,True,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
True,False,False,True,True,False,False,False,False,True
False,False,True,False,False,True,True,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False
True,False,False,True,True,False,False,True,False,True
False,False,False,False,False,False,False,True,False,False
True,False,True,True,True,False,False,False,True,True
False,False,False,True,True,False,False,False,False,False
True,False,True,False,False,False,False,False,False,True
True,False,True,True,True,False,False,True,False,True
False,False,False,False,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False
